difficulty,algorithm,success_rate_last_100,avg_steps_success_last_100,avg_reward_last_100,avg_invalid_moves_last_100,training_time_seconds
easy,Q-learning,100.0,11.12,86.28,0.4,0.0837748050689697
medium,Q-learning,100.0,15.65,80.76,0.51,0.1157228946685791
hard,Q-learning,100.0,20.06,75.9,0.56,0.3565599918365478
easy,DQN,100.0,11.49,85.28,0.47,32.911779165267944
medium,DQN,100.0,15.46,82.12,0.38,66.13180899620056
hard,DQN,100.0,19.98,75.62,0.6,130.33784747123718
